Week #,Day of Week,Backup Start Time - Hour of Day,Work-Flow-ID,File Name,Size of Backup (GB),Backup Time (hour)
9,Friday,13,work_flow_4,File_26,0.0900933587299,2
12,Sunday,17,work_flow_3,File_22,0.0,0
10,Saturday,5,work_flow_4,File_29,0.159495421018,1
13,Sunday,1,work_flow_0,File_0,0.0185742851227,1
3,Thursday,17,work_flow_1,File_7,0.0,0
8,Tuesday,5,work_flow_4,File_29,0.0745472386638,2
12,Wednesday,9,work_flow_2,File_12,0.0,0
9,Tuesday,9,work_flow_2,File_13,0.0,0
5,Sunday,9,work_flow_1,File_8,0.0,0
5,Thursday,1,work_flow_3,File_23,0.0,0
4,Friday,13,work_flow_4,File_25,0.0822706729538,2
14,Saturday,17,work_flow_1,File_11,0.0,0
4,Saturday,13,work_flow_0,File_5,0.0798082305161,1
13,Sunday,9,work_flow_2,File_15,0.0,0
1,Saturday,17,work_flow_0,File_0,0.0800990901154,1
15,Friday,5,work_flow_4,File_29,0.0733152172134,2
4,Sunday,1,work_flow_3,File_18,0.0,0
4,Sunday,1,work_flow_0,File_5,0.0176547150099,1
4,Thursday,1,work_flow_2,File_17,0.0327834941059,1
1,Monday,9,work_flow_1,File_8,0.160452187413,2
10,Friday,17,work_flow_3,File_21,0.020159057436,1
13,Thursday,17,work_flow_2,File_15,0.155427105934,2
8,Friday,1,work_flow_3,File_18,0.0,0
4,Tuesday,21,work_flow_1,File_10,0.0,0
15,Wednesday,17,work_flow_2,File_13,0.0,0
7,Friday,13,work_flow_2,File_15,0.0,0
4,Thursday,13,work_flow_1,File_9,0.0,0
5,Sunday,17,work_flow_1,File_7,0.0,0
7,Saturday,17,work_flow_0,File_5,0.0806897249112,1
15,Thursday,9,work_flow_1,File_7,0.0,0
10,Thursday,21,work_flow_2,File_16,0.0926753680351,1
2,Monday,21,work_flow_4,File_26,0.0663194277878,1
4,Monday,13,work_flow_2,File_16,0.0,0
8,Friday,13,work_flow_2,File_14,0.0655000710851,2
7,Thursday,1,work_flow_2,File_14,0.0,0
3,Wednesday,9,work_flow_3,File_22,0.0,0
7,Monday,17,work_flow_0,File_5,0.159406635014,1
7,Wednesday,21,work_flow_4,File_25,0.0711598778124,1
11,Wednesday,13,work_flow_4,File_29,0.0908921276753,1
4,Tuesday,13,work_flow_1,File_8,0.0190181563338,1
10,Friday,17,work_flow_4,File_29,0.0749673975984,2
1,Sunday,1,work_flow_3,File_23,0.0,0
4,Sunday,9,work_flow_0,File_1,0.0341968994585,1
8,Friday,1,work_flow_0,File_3,0.0760924883035,2
7,Sunday,1,work_flow_0,File_0,0.0190896387882,1
9,Thursday,17,work_flow_1,File_9,0.0,0
11,Thursday,9,work_flow_0,File_2,0.0904763049172,1
4,Monday,9,work_flow_1,File_6,0.159687205991,2
5,Sunday,9,work_flow_1,File_9,0.0,0
11,Wednesday,5,work_flow_2,File_17,0.0,0
5,Wednesday,9,work_flow_4,File_29,0.119467551471,1
2,Monday,17,work_flow_2,File_17,0.0,0
